sample_name,a1,a2,a3,a4,a5,a6,a7,SSE,R_square,DFE,adj_R_square,RMSE
sample8-20rpm-60kx-9,5.788671e-08,-1.859512e-06,1.157125e-05,-4.823563e-06,9.766158e-04,1.651614e-03,2.104718e-02,5.194129e-04,9.923327e-01,39,9.911531e-01,3.649422e-03
sample9-195rpm-60kx-10,3.634357e-08,-1.277945e-06,7.599658e-06,-1.843668e-05,1.204680e-03,1.777593e-03,2.148312e-02,5.684808e-04,9.925641e-01,39,9.914201e-01,3.817909e-03
sample9-195rpm-60kx-11,4.801408e-08,-1.580781e-06,9.365893e-06,-7.499491e-06,1.075143e-03,1.705005e-03,2.132721e-02,5.198946e-04,9.927557e-01,39,9.916412e-01,3.651114e-03
sample9-195rpm-60kx-13,4.539660e-08,-1.503825e-06,8.666383e-06,-7.145148e-06,1.101830e-03,1.735343e-03,2.145531e-02,5.132628e-04,9.930151e-01,39,9.919406e-01,3.627752e-03
sample9-195rpm-60kx-2,6.301940e-08,-1.964205e-06,1.136408e-05,8.814399e-06,9.206704e-04,1.665131e-03,2.137748e-02,4.443519e-04,9.935094e-01,39,9.925108e-01,3.375447e-03
sample9-195rpm-60kx-2b,6.524950e-08,-2.018199e-06,1.155679e-05,1.214716e-05,8.985228e-04,1.666655e-03,2.142919e-02,4.257289e-04,9.937732e-01,39,9.928152e-01,3.303956e-03
sample9-195rpm-60kx-2c,5.764631e-08,-1.798354e-06,9.622276e-06,1.241441e-05,9.776254e-04,1.763632e-03,2.180612e-02,4.168986e-04,9.943344e-01,39,9.934628e-01,3.269512e-03
sample9-195rpm-60kx-3,5.260283e-08,-1.674674e-06,9.138733e-06,5.127285e-06,1.030320e-03,1.764261e-03,2.171176e-02,4.479429e-04,9.939512e-01,39,9.930206e-01,3.389058e-03
sample9-195rpm-60kx-4,4.710510e-08,-1.561934e-06,9.312055e-06,-9.118312e-06,1.094713e-03,1.757743e-03,2.144239e-02,5.285611e-04,9.928232e-01,39,9.917191e-01,3.681419e-03
sample9-195rpm-60kx-5,3.681804e-08,-1.311587e-06,8.341601e-06,-2.389583e-05,1.204185e-03,1.788819e-03,2.130592e-02,6.131801e-04,9.918898e-01,39,9.906421e-01,3.965169e-03
